href,title,from_topicLv1Key,from_topicLv1Label,from_topicLv2Key,from_topicLv2Label,planned_to_topicLv1Key,planned_to_topicLv1Label,actual_to_topicLv1Key,actual_to_topicLv1Label,status
thu-vien/bo-luat-lao-dong-so-45-2019-qh14-cua-quoc-hoi.html,Bộ luật lao động số 45/2019/QH14 của Quốc hội,van-ban-phap-luat,Văn bản pháp luật,luat-bo-luat,Luật - Bộ luật,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-bao-hiem,Lao động - Bảo hiểm,ok
thu-vien/cong-van-10315-btc-tct-quy-dinh-muc-phat-cham-nop-tien-thue.html,Công văn 10315/BTC-TCT Quy định mức phạt chậm nộp tiền thuế,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/cong-van-11352-btc-tchq-vv-hoa-don-hang-xuat-khau.html,Công văn 11352/BTC-TCHQ V/v hóa đơn hàng xuất khẩu,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/cong-van-11819-ct-ttht-chi-phi-duoc-tru-khi-tinh-thue-tndn.html,Công văn 11819/CT-TTHT chi phí được trừ khi tính thuế TNDN,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/cong-van-12568-btc-cdkt-giai-thich-noi-dung-thong-tu-200.html,Công văn 12568/BTC-CĐKT Giải thích nội dung Thông tư 200/2014/TT-BTC,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,ke-toan,Kế toán,ke-toan,Kế toán,ok
thu-vien/cong-van-1307-tct-cs-gia-han-nop-tien-thue-do-covid-19.html,Công văn 1307/TCT-CS gia hạn nộp tiền Thuế do Covid-19,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/cong-van-1434-tct-kk-gia-han-nop-mau-6-gtgt.html,Công văn 1434/TCT-KK gia hạn nộp mẫu 06/GTGT năm 2016-2017,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/cong-van-17526-btc-tct-luat-sua-doi-bo-sung-cac-luat-thue.html,"Công văn số 17526/BTC-TCT Luật sửa đổi, bổ sung các luật về thuế",van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/cong-van-17709-btc-tct-ap-dung-thue-gtgt-voi-1-so-mat-hang.html,Công văn 17709/BTC-TCT áp dụng thuế GTGT với 1 số mặt hàng,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/cong-van-2065-ct-nvt-su-dung-so-dinh-danh-thay-ma-so-thue.html,Công văn 2065/CT-NVT sử dụng số định danh thay mã số thuế,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/cong-van-2086-bldtbxh-tldldvn-trien-khai-luong-toi-thieu.html,Công văn 2086/BLĐTBXH-TLĐLĐVN triển khai lương tối thiểu 2022,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/cong-van-2387-bhxh-qlt-huong-dan-cap-the-bhht-2017.html,Công văn 2387/BHXH-QLT Hướng dẫn cấp thẻ BHYT năm 2017,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-bao-hiem,Lao động - Bảo hiểm,ok
thu-vien/cong-van-2393-tct-dnncn-khai-thue-thu-nhap-ca-nhan.html,Công văn 2393/TCT-DNNCN khai thuế thu nhập cá nhân,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/cong-van-2626-tct-dnncn-ngay-19-thang-7-nam-2021.html,Công văn 2626/TCT-DNNCN điểm mới Thông tư 40/2021/TT-BTC,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/cong-van-2785-tct-cs-noi-dung-moi-cua-tt-78-ve-thue-tndn.html,Công văn 2785/TCT-CS nội dung mới của TT 78/2014/TT-BTC về thuế TNDN,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/cong-van-3437-tct-tncn-thue-tncn-tien-thu-lao-tra-cho-ca-nhan.html,Công văn 3437/TCT-TNCN Thuế TNCN tiền thu lao trả cho cá nhân,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/cong-van-348-ct-cs-gioi-thieu-noi-dung-moi-tai-nd-70-2025.html,Công văn 348/CT-CS giới thiệu nội dung mới tại Nghị định 70/2025/NĐ-CP,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/cong-van-3609-tct-cs-gioi-hieu-noi-dung-tt-119-2014-tt-btc.html,Công văn 3609/TCT-CS giới hiệu nội dung Thông tư 119/2014/TT-BTC,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/cong-van-3706-tct-kk-gioi-thieu-noi-dung-thong-tu-95.html,Công văn 3706/TCT-KK giới thiệu nội dung Thông tư 95,van-ban-phap-luat,Văn bản pháp luật,cong-van,Công văn,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
