href,title,from_topicLv1Key,from_topicLv1Label,from_topicLv2Key,from_topicLv2Label,planned_to_topicLv1Key,planned_to_topicLv1Label,actual_to_topicLv1Key,actual_to_topicLv1Label,status
thu-vien/nghi-quyet-198-2025-qh15-chinh-sach-mien-giam-thue-tndn-tncn-mon-bai.html,"Nghị quyết 198/2025/QH15 chính sách miễn giảm thuế TNDN, TNCN, Môn Bài",van-ban-phap-luat,Văn bản pháp luật,nghi-quyet-quyet-dinh,Nghị quyết - Quyết định,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/nghi-quyet-204-2025-qh15-tiep-tuc-giam-thue-gtgt-8.html,Tiếp tục giảm thuế GTGT 8% từ ngày 01/7/2025 đến hết ngày 31/12/2026,van-ban-phap-luat,Văn bản pháp luật,nghi-quyet-quyet-dinh,Nghị quyết - Quyết định,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/nghi-quyet-406-nq-ubtvqh15-giam-30-thue-tndn-nam-2021.html,Nghị quyết 406/NQ-UBTVQH15 giảm 30% thuế TNDN năm 2021,van-ban-phap-luat,Văn bản pháp luật,nghi-quyet-quyet-dinh,Nghị quyết - Quyết định,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/nghi-quyet-43-2022-qh15-giam-2-thue-suat-thue-gtgt.html,Nghị quyết 43/2022/QH15 giảm 2% thuế suất thuế GTGT trong năm 2022,van-ban-phap-luat,Văn bản pháp luật,nghi-quyet-quyet-dinh,Nghị quyết - Quyết định,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/nghi-quyet-954-2020-dieu-chinh-muc-giam-tru-gia-canh-thue-tncn.html,Nghị quyết 954/2020 điều chỉnh mức giảm trừ gia cảnh thuế TNCN,van-ban-phap-luat,Văn bản pháp luật,nghi-quyet-quyet-dinh,Nghị quyết - Quyết định,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/nghi-quyet-so-116-giam-thue-tndn-phai-nop-nam-2020.html,Nghị quyết số 116 giảm thuế TNDN phải nộp năm 2020,van-ban-phap-luat,Văn bản pháp luật,nghi-quyet-quyet-dinh,Nghị quyết - Quyết định,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/quyet-dinh-1018-qd-bhxh-quy-dinh-thu-chi-bhxh-bhyt.html,"Quyết định 1018/QĐ-BHXH Quy định thu, chi BHXH, BHYT",van-ban-phap-luat,Văn bản pháp luật,nghi-quyet-quyet-dinh,Nghị quyết - Quyết định,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-bao-hiem,Lao động - Bảo hiểm,ok
thu-vien/quyet-dinh-108-qd-tct-quy-trinh-hoan-thue-tncn-tu-dong.html,Quyết định 108/QĐ-TCT quy trình hoàn thuế thu nhập cá nhân tự động,van-ban-phap-luat,Văn bản pháp luật,nghi-quyet-quyet-dinh,Nghị quyết - Quyết định,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/quyet-dinh-1378-qd-btc-thu-tuc-dang-ky-nguoi-phu-thuoc.html,Quyết định 1378/QĐ-BTC Thủ tục đăng ký người phụ thuộc,van-ban-phap-luat,Văn bản pháp luật,nghi-quyet-quyet-dinh,Nghị quyết - Quyết định,thue,Thuế - Hóa đơn,thue,Thuế - Hóa đơn,ok
thu-vien/quyet-dinh-166-qd-bhxh-quy-trinh-giai-quyet-che-do-bhxh.html,"Quyết định 166/QĐ-BHXH Quy trình giải quyết chế độ BHXH, BHTN",van-ban-phap-luat,Văn bản pháp luật,nghi-quyet-quyet-dinh,Nghị quyết - Quyết định,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-bao-hiem,Lao động - Bảo hiểm,ok
