href,title,from_topicLv2Key,from_topicLv2Label,planned_to_topicLv2Key,planned_to_topicLv2Label,actual_to_topicLv2Key,actual_to_topicLv2Label,status
thu-vien/bai-bo-le-phi-mon-bai-tu-nam-2026.html,Bãi bỏ lệ phí môn bài từ năm 2026 theo Nghị quyết 198/2025/QH15,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,le-phi-mon-bai,Lệ phí môn bài,ok
thu-vien/bao-cao-tinh-hinh-su-dung-bien-lai-dien-tu-thu-thue-phi-le-phi.html,"Báo cáo tình hình sử dụng biên lai điện tử thu thuế, phí, lệ phí",khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,le-phi-mon-bai,Lệ phí môn bài,ok
thu-vien/cac-bac-thue-mon-bai-moi-nhat.html,Các bậc thuế môn bài năm 2025 mới nhất,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,le-phi-mon-bai,Lệ phí môn bài,ok
thu-vien/cach-hach-toan-tien-thue-mon-bai.html,Cách hạch toán lệ phí môn bài phải nộp 2025,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,le-phi-mon-bai,Lệ phí môn bài,ok
thu-vien/cach-ke-khai-thue-nha-thau-nuoc-ngoai.html,Hướng dẫn cách kê khai thuế nhà thầu nước ngoài qua mạng,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,thue-nha-thau,Thuế nhà thầu,thue-nha-thau,Thuế nhà thầu,ok
thu-vien/cach-ke-khai-thue-voi-thu-nhap-tu-tien-cho-thue-nha.html,Cách kê khai thuế với thu nhập từ tiền cho thuê nhà,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ok
thu-vien/cach-lap-to-khai-thue-mon-bai-mau-01-mbai.html,Cách lập tờ khai Lệ phí môn bài 01/LPMB 2026,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,le-phi-mon-bai,Lệ phí môn bài,ok
thu-vien/cach-lap-to-khai-thue-nha-thau-mau-01-ntnn.html,Cách lập tờ khai thuế nhà thầu mẫu 01/NTNN,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,thue-nha-thau,Thuế nhà thầu,thue-nha-thau,Thuế nhà thầu,ok
thu-vien/cach-nop-thue-le-phi-mon-bai-qua-mang-dien-tu-bang-ma-id.html,Cách nộp tiền thuế lệ phí môn bài 2025 qua mạng điện tử,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,le-phi-mon-bai,Lệ phí môn bài,le-phi-mon-bai,Lệ phí môn bài,ok
thu-vien/cach-tinh-thue-ho-kinh-doanh-theo-phuong-phap-ke-khai.html,Cách tính thuế hộ kinh doanh theo phương pháp kê khai,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ok
thu-vien/cach-tinh-thue-nha-thau-nuoc-ngoai-moi-nhat-theo-tt-103.html,Cách tính thuế nhà thầu nước ngoài mới nhất,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,thue-nha-thau,Thuế nhà thầu,thue-nha-thau,Thuế nhà thầu,ok
thu-vien/cach-tinh-thue-nop-thay-cho-ca-nhan-kinh-doanh.html,Doanh nghiệp nộp thuế thay cho cá nhân kinh doanh,khac-mon-bai-ho-kinh-doanh-nha-thau,Môn bài - Hộ kinh doanh - Nhà thầu - MST,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ho-ca-nhan-kinh-doanh,Hộ/Cá nhân kinh doanh,ok
