href,title,topicLv2Key,topicLv2Label,planned_to_topicLv3Key,planned_to_topicLv3Label,actual_to_topicLv3Key,actual_to_topicLv3Label,status
thu-vien/ca-ch-hach-toan-hang-hoa-cho-bieu-tang.html,Cách hạch toán quà tặng khách hàng - nhân viên,tai-khoan-hach-toan,Tài khoản - Hạch toán,hang-ton-kho-gia-thanh,Hàng tồn kho/Giá thành,hang-ton-kho-gia-thanh,Hàng tồn kho/Giá thành,ok
thu-vien/cach-chuyen-so-du-tai-khoan-theo-thong-tu-200.html,Hướng dẫn chuyển số dư TK từ QĐ 15 sang Thông tư 200/2014/TT-BTC,tai-khoan-hach-toan,Tài khoản - Hạch toán,hach-toan-dac-thu,Nghiệp vụ đặc thù,hach-toan-dac-thu,Nghiệp vụ đặc thù,ok
thu-vien/cach-chuyen-so-du-tai-khoan-thong-tu-200-sang-thong-tu-99.html,Cách chuyển số dư tài khoản thông tư 200 sang thông tư 99,tai-khoan-hach-toan,Tài khoản - Hạch toán,hach-toan-dac-thu,Nghiệp vụ đặc thù,hach-toan-dac-thu,Nghiệp vụ đặc thù,ok
thu-vien/cach-dinh-khoan-hach-toan-mua-hang-tk-611.html,Cách định khoản hạch toán mua hàng - Tài khoản 611 theo TT 200,tai-khoan-hach-toan,Tài khoản - Hạch toán,hang-ton-kho-gia-thanh,Hàng tồn kho/Giá thành,hang-ton-kho-gia-thanh,Hàng tồn kho/Giá thành,ok
thu-vien/cach-ha-ch-toan-tai-khoan-466-theo-tt-200.html,Cách hạch toán Nguồn kinh phí hình thành TSCĐ Tài khoản 466 theo TT 200,tai-khoan-hach-toan,Tài khoản - Hạch toán,tscd-ccdc-khau-hao,TSCĐ/CCDC/Khấu hao,tscd-ccdc-khau-hao,TSCĐ/CCDC/Khấu hao,ok
thu-vien/cach-hach-toan-ban-hang-co-giam-gia-hang-ban.html,Cách hạch toán bán hàng có giảm giá hàng bán trên Misa,tai-khoan-hach-toan,Tài khoản - Hạch toán,doanh-thu-chi-phi-kqkd,Doanh thu/Chi phí/KQKD,doanh-thu-chi-phi-kqkd,Doanh thu/Chi phí/KQKD,ok
thu-vien/cach-hach-toan-ban-hang-khong-qua-kho.html,Cách hạch toán hàng bán thẳng không qua kho,tai-khoan-hach-toan,Tài khoản - Hạch toán,doanh-thu-chi-phi-kqkd,Doanh thu/Chi phí/KQKD,doanh-thu-chi-phi-kqkd,Doanh thu/Chi phí/KQKD,ok
thu-vien/cach-hach-toan-bat-dong-san-dau-tu-tk-217.html,Cách hạch toán bất động sản đầu tư - Tài khoản 217 theo TT 200,tai-khoan-hach-toan,Tài khoản - Hạch toán,tscd-ccdc-khau-hao,TSCĐ/CCDC/Khấu hao,tscd-ccdc-khau-hao,TSCĐ/CCDC/Khấu hao,ok
thu-vien/cach-hach-toan-cac-khoan-giam-tru-doanh-thu-theo-thong-tu-200.html,Hạch toán các khoản giảm trừ doanh thu theo thông tư 200 và 133,tai-khoan-hach-toan,Tài khoản - Hạch toán,doanh-thu-chi-phi-kqkd,Doanh thu/Chi phí/KQKD,doanh-thu-chi-phi-kqkd,Doanh thu/Chi phí/KQKD,ok
thu-vien/cach-hach-toan-cac-khoan-no-phai-thu-kho-doi.html,Cách hạch toán trích lập dự phòng phải thu khó đòi,tai-khoan-hach-toan,Tài khoản - Hạch toán,cong-no-thanh-toan,Công nợ/Thanh toán,cong-no-thanh-toan,Công nợ/Thanh toán,ok
thu-vien/cach-hach-toan-cac-quy-khac-thuoc-von-chu-so-huu-tk-418.html,Cách hạch toán quỹ khác thuộc vốn chủ sở hữu Tài khoản 418 theo TT 200,tai-khoan-hach-toan,Tài khoản - Hạch toán,von-dau-tu,Vốn/Đầu tư,von-dau-tu,Vốn/Đầu tư,ok
thu-vien/cach-hach-toan-chenh-lech-danh-gia-lai-tai-san-tk-412.html,Cách hạch toán Chênh lệch đánh giá lại tài sản Tài khoản 412 theo TT 200,tai-khoan-hach-toan,Tài khoản - Hạch toán,von-dau-tu,Vốn/Đầu tư,von-dau-tu,Vốn/Đầu tư,ok
thu-vien/cach-hach-toan-chenh-lech-ty-gia-hoi-doai-tk-413.html,Cách hạch toán chênh lệch tỷ giá hối đoái Tài khoản 413 theo TT 200,tai-khoan-hach-toan,Tài khoản - Hạch toán,von-dau-tu,Vốn/Đầu tư,von-dau-tu,Vốn/Đầu tư,ok
thu-vien/cach-hach-toan-chi-nhanh-phu-thuoc-khac-tinh.html,Cách hạch toán chi nhánh độc lập và phụ thuộc cùng tỉnh - khác tỉnh,tai-khoan-hach-toan,Tài khoản - Hạch toán,hach-toan-dac-thu,Nghiệp vụ đặc thù,hach-toan-dac-thu,Nghiệp vụ đặc thù,ok
thu-vien/cach-hach-toan-chi-phi-ban-hang-tai-khoan-641.html,Cách hạch toán Chi phí bán hàng Tài khoản 641 theo TT 200,tai-khoan-hach-toan,Tài khoản - Hạch toán,doanh-thu-chi-phi-kqkd,Doanh thu/Chi phí/KQKD,doanh-thu-chi-phi-kqkd,Doanh thu/Chi phí/KQKD,ok
