href,title,topicLv2Key,topicLv2Label,planned_to_topicLv3Key,planned_to_topicLv3Label,actual_to_topicLv3Key,actual_to_topicLv3Label,status
thu-vien/he-thong-tai-khoan-ke-toan-theo-thong-tu-200-moi-nhat.html,Hệ thống tài khoản kế toán theo Thông tư 200 Excel,tai-khoan-hach-toan,Tài khoản - Hạch toán,hach-toan-dac-thu,Nghiệp vụ đặc thù,hach-toan-dac-thu,Nghiệp vụ đặc thù,ok
thu-vien/he-thong-tai-khoan-ke-toan-theo-thong-tu-99-2025-tt-btc.html,Bảng danh mục hệ thống tài khoản kế toán theo Thông tư 99/2025/TT-BTC,tai-khoan-hach-toan,Tài khoản - Hạch toán,hach-toan-dac-thu,Nghiệp vụ đặc thù,hach-toan-dac-thu,Nghiệp vụ đặc thù,ok
thu-vien/huong-dan-cach-hach-toan-hang-ban-bi-tra-lai.html,Hướng dẫn cách hạch toán hàng bán bị trả lại theo TT 133 và 200,tai-khoan-hach-toan,Tài khoản - Hạch toán,hach-toan-dac-thu,Nghiệp vụ đặc thù,hach-toan-dac-thu,Nghiệp vụ đặc thù,ok
thu-vien/khong-phai-dang-ky-tai-khoan-ngan-hang-voi-co-quan-thue.html,Bỏ quy định về việc đăng ký TKNH với Sở kế hoạch đầu tư,tai-khoan-hach-toan,Tài khoản - Hạch toán,thue-nghia-vu,Thuế/Nghĩa vụ NSNN,thue-nghia-vu,Thuế/Nghĩa vụ NSNN,ok
thu-vien/meo-nho-bang-he-thong-tai-khoan-ke-toan-nhanh-nhat.html,Cách nhớ bảng hệ thống tài khoản kế toán nhanh nhất,tai-khoan-hach-toan,Tài khoản - Hạch toán,hach-toan-dac-thu,Nghiệp vụ đặc thù,hach-toan-dac-thu,Nghiệp vụ đặc thù,ok
thu-vien/phan-biet-chi-nhanh-hach-toan-doc-lap-va-phu-thuoc.html,Cách kiểm tra chi nhánh hạch toán độc lập hay phụ thuộc,tai-khoan-hach-toan,Tài khoản - Hạch toán,hach-toan-dac-thu,Nghiệp vụ đặc thù,hach-toan-dac-thu,Nghiệp vụ đặc thù,ok
thu-vien/so-sanh-tai-khoan-ke-toan-thong-tu-200-va-thong-tu-99.html,So sánh tài khoản kế toán Thông tư 200 và Thông tư 99,tai-khoan-hach-toan,Tài khoản - Hạch toán,hach-toan-dac-thu,Nghiệp vụ đặc thù,hach-toan-dac-thu,Nghiệp vụ đặc thù,ok
thu-vien/tai-khoan-112-tien-gui-ngan-hang-cach-hach-toan.html,Tải khoản 112 Tiền gửi ngân hàng theo Thông tư 133,tai-khoan-hach-toan,Tài khoản - Hạch toán,tien-quy-ngan-hang,Tiền/Quỹ/Ngân hàng,tien-quy-ngan-hang,Tiền/Quỹ/Ngân hàng,ok
thu-vien/tai-khoan-121-chung-khoan-kinh-doanh-theo-thong-tu-133.html,Tài khoản 121 Chứng khoán kinh doanh theo Thông tư 133,tai-khoan-hach-toan,Tài khoản - Hạch toán,tien-quy-ngan-hang,Tiền/Quỹ/Ngân hàng,tien-quy-ngan-hang,Tiền/Quỹ/Ngân hàng,ok
thu-vien/tai-khoan-128-dau-tu-nam-giu-den-ngay-dao-han-theo-tt-133.html,Tài khoản 128 Đầu tư nắm giữ đến ngày đáo hạn theo TT 133,tai-khoan-hach-toan,Tài khoản - Hạch toán,tien-quy-ngan-hang,Tiền/Quỹ/Ngân hàng,tien-quy-ngan-hang,Tiền/Quỹ/Ngân hàng,ok
