href,title,from_topicLv1Key,from_topicLv1Label,from_topicLv2Key,from_topicLv2Label,to_topicLv1Key,to_topicLv1Label,to_topicLv2Key,to_topicLv2Label,reason
thu-vien/cac-hanh-vi-bi-nghiem-cam-trong-khau-tru-hoan-thue.html,"Các hành vi bị nghiêm cấm trong khấu trừ, hoàn thuế",tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,gtgt-hoa-don,GTGT - Hóa đơn,rule-thue-gtgt
thu-vien/cac-hanh-vi-vi-pham-hanh-chinh-ve-thue-moi-nhat.html,Các hành vi vi phạm hành chính về thuế theo TT 166,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,gtgt-hoa-don,GTGT - Hóa đơn,rule-thue-gtgt
thu-vien/cach-chuyen-so-du-theo-thong-tu-133.html,Cách chuyển số dư đầu kỳ từ QĐ 48 sang TT 133,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,rule-ketoan-chedo
thu-vien/cach-lap-bang-tong-hop-chi-tiet-vat-lieu-hang-hoa-dung-cu-san-pham.html,"Cách lập bảng tổng hợp chi tiết vật liệu, dụng cụ, sản phẩm, hàng hóa",tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,tai-san-kho-ccdc,Tài sản - Kho - CCDC,rule-ketoan-kho
thu-vien/cach-lap-bao-cao-tinh-hinh-tai-chinh-theo-thong-tu-99.html,Cách lập Báo cáo tình hình tài chính theo Thông tư 99,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,bao-cao-tai-chinh,Báo cáo tài chính,rule-ketoan-bctc
thu-vien/cach-lap-so-chi-tiet-thanh-toan-voi-nguoi-mua-bang-ngoai-te.html,Cách lập Sổ chi tiết thanh toán với người mua (người bán) bằng ngoại tệ,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,tai-khoan-hach-toan,Tài khoản - Hạch toán,rule-ketoan-tk
thu-vien/cach-lap-so-chi-tiet-thanh-toan-voi-nguoi-mua-nguoi-ban.html,Cách lập sổ chi tiết thanh toán với người mua (người bán),tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,tai-khoan-hach-toan,Tài khoản - Hạch toán,rule-ketoan-tk
thu-vien/cach-lap-so-chi-tiet-tien-vay-theo-thong-tu-200.html,Cách lập sổ chi tiết tiền vay theo Thông tư 200,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,tai-khoan-hach-toan,Tài khoản - Hạch toán,rule-ketoan-tk
thu-vien/cach-lap-so-chi-tiet-vat-lieu-dung-cu-san-pham-hang-hoa.html,"Hướng dẫn lập sổ chi tiết vật liệu, dụng cụ, sản phẩm, hàng hóa theo Thông tư 200",tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,tai-san-kho-ccdc,Tài sản - Kho - CCDC,rule-ketoan-kho
thu-vien/cach-lap-so-theo-doi-thanh-toan-bang-ngoai-te.html,Cách lập Sổ theo dõi thanh toán bằng ngoại tệ,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,tai-khoan-hach-toan,Tài khoản - Hạch toán,rule-ketoan-tk
thu-vien/cach-lap-so-tien-gui-ngan-hang-theo-thong-tu-200.html,Hướng dẫn lập sổ tiền gửi ngân hàng Mẫu S08- DN theo Thông tư 200,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,rule-ketoan-sosach
thu-vien/cach-viet-giay-de-nghi-dieu-chinh-thu-nsnn-mau-c1-07-ns.html,Cách ghi mẫu C1-07a/NS giấy đề nghị điều chỉnh thu NSNN,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,gtgt-hoa-don,GTGT - Hóa đơn,rule-thue-gtgt
thu-vien/cach-viet-giay-nop-tien-vao-ngan-sach-nha-nuoc-mau-c1-02-ns.html,Cách viết giấy nộp tiền vào ngân sách nhà nước mẫu C1-02/NS,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,gtgt-hoa-don,GTGT - Hóa đơn,rule-thue-gtgt
thu-vien/cach-xac-dinh-ca-nhan-cu-tru-va-khong-cu-tru.html,Điều kiện để xác định cá nhân là cư trú năm 2026,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,tncn,Thuế thu nhập cá nhân,rule-thue-tncn
thu-vien/chi-phi-di-cong-tac-hop-ly-duoc-tru.html,Quy định công tác phí hợp lý của Công ty mới nhất,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,ke-toan,Kế toán,chung-tu-so-sach,Chứng từ - Sổ sách,rule-ketoan-sosach
thu-vien/cong-ty-do-go-hung-long-tuyen-kt-tong-hop-da-co-kinh-nghiem.html,Công ty Đồ gỗ Hưng Long tuyển KT tổng hợp đã có kinh nghiệm,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,tham-khao-hoc-lieu,Học liệu - Tham khảo,kinh-nghiem-hoi-dap-nghe-nghiep,Kinh nghiệm - Hỏi đáp - Nghề nghiệp,rule-nghenghiep
thu-vien/dang-ky-thanh-lap-chi-nhanh-vpdd-dia-diem-kinh-doanh.html,"Đăng ký thành lập chi nhánh, văn phòng đại diện, địa điểm kinh doanh",tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,doanh-nghiep-thu-tuc,Doanh nghiệp - Thủ tục,thu-tuc-doanh-nghiep,DN - Thủ tục,rule-dn-thutuc
thu-vien/dieu-kien-ap-dung-thue-suat-0.html,Điều kiện áp dụng thuế suất 0% từ ngày 01/07/2025,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,thue,Thuế - Hóa đơn,gtgt-hoa-don,GTGT - Hóa đơn,rule-thue-gtgt
thu-vien/dieu-kien-va-muc-huong-tro-cap-thoi-viec-2024.html,Điều kiện và mức hưởng trợ cấp thôi việc 2026,tham-khao-hoc-lieu,Học liệu - Tham khảo,khac,Khác,lao-dong-bao-hiem,Lao động - Bảo hiểm,lao-dong-tien-luong,Lao động - Tiền lương,rule-laodong-luong
