href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,planned_to_topicLv3Key,planned_to_topicLv3Label,actual_to_topicLv3Key,actual_to_topicLv3Label,status
thu-vien/cac-van-ban-phap-luat-thue-moi-nhat-nam-2015.html,Các văn bản pháp luật thuế mới nhất năm 2015,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-chinh-sach-chung,Công văn Chính sách chung,cong-van-chinh-sach-chung,Công văn Chính sách chung,ok
thu-vien/cong-van-10315-btc-tct-quy-dinh-muc-phat-cham-nop-tien-thue.html,Công văn 10315/BTC-TCT Quy định mức phạt chậm nộp tiền thuế,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-ke-khai-quan-ly-thue,Công văn Kê khai/Quản lý thuế,cong-van-ke-khai-quan-ly-thue,Công văn Kê khai/Quản lý thuế,ok
thu-vien/cong-van-11352-btc-tchq-vv-hoa-don-hang-xuat-khau.html,Công văn 11352/BTC-TCHQ V/v hóa đơn hàng xuất khẩu,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-11819-ct-ttht-chi-phi-duoc-tru-khi-tinh-thue-tndn.html,Công văn 11819/CT-TTHT chi phí được trừ khi tính thuế TNDN,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-tndn,Công văn TNDN,cong-van-tndn,Công văn TNDN,ok
thu-vien/cong-van-1307-tct-cs-gia-han-nop-tien-thue-do-covid-19.html,Công văn 1307/TCT-CS gia hạn nộp tiền Thuế do Covid-19,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-ke-khai-quan-ly-thue,Công văn Kê khai/Quản lý thuế,cong-van-ke-khai-quan-ly-thue,Công văn Kê khai/Quản lý thuế,ok
thu-vien/cong-van-1434-tct-kk-gia-han-nop-mau-6-gtgt.html,Công văn 1434/TCT-KK gia hạn nộp mẫu 06/GTGT năm 2016-2017,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-17526-btc-tct-luat-sua-doi-bo-sung-cac-luat-thue.html,"Công văn số 17526/BTC-TCT Luật sửa đổi, bổ sung các luật về thuế",thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-chinh-sach-chung,Công văn Chính sách chung,cong-van-chinh-sach-chung,Công văn Chính sách chung,ok
thu-vien/cong-van-17709-btc-tct-ap-dung-thue-gtgt-voi-1-so-mat-hang.html,Công văn 17709/BTC-TCT áp dụng thuế GTGT với 1 số mặt hàng,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,cong-van-gtgt-hoa-don,Công văn GTGT/Hóa đơn,ok
thu-vien/cong-van-2065-ct-nvt-su-dung-so-dinh-danh-thay-ma-so-thue.html,Công văn 2065/CT-NVT sử dụng số định danh thay mã số thuế,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-mst-dang-ky-thue,Công văn MST/Đăng ký thuế,cong-van-mst-dang-ky-thue,Công văn MST/Đăng ký thuế,ok
thu-vien/cong-van-2086-bldtbxh-tldldvn-trien-khai-luong-toi-thieu.html,Công văn 2086/BLĐTBXH-TLĐLĐVN triển khai lương tối thiểu 2022,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-chinh-sach-chung,Công văn Chính sách chung,cong-van-chinh-sach-chung,Công văn Chính sách chung,ok
thu-vien/cong-van-2393-tct-dnncn-khai-thue-thu-nhap-ca-nhan.html,Công văn 2393/TCT-DNNCN khai thuế thu nhập cá nhân,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-tncn,Công văn TNCN,cong-van-tncn,Công văn TNCN,ok
thu-vien/cong-van-2626-tct-dnncn-ngay-19-thang-7-nam-2021.html,Công văn 2626/TCT-DNNCN điểm mới Thông tư 40/2021/TT-BTC,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-chinh-sach-chung,Công văn Chính sách chung,cong-van-chinh-sach-chung,Công văn Chính sách chung,ok
thu-vien/cong-van-2785-tct-cs-noi-dung-moi-cua-tt-78-ve-thue-tndn.html,Công văn 2785/TCT-CS nội dung mới của TT 78/2014/TT-BTC về thuế TNDN,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-tndn,Công văn TNDN,cong-van-tndn,Công văn TNDN,ok
thu-vien/cong-van-3437-tct-tncn-thue-tncn-tien-thu-lao-tra-cho-ca-nhan.html,Công văn 3437/TCT-TNCN Thuế TNCN tiền thu lao trả cho cá nhân,thue,Thuế - Hóa đơn,cong-van,Công văn,cong-van-tncn,Công văn TNCN,cong-van-tncn,Công văn TNCN,ok
