href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,to_topicLv3Key,to_topicLv3Label,reason
thu-vien/nghi-dinh-04-2014-nd-cp-ve-hoa-don-ban-hang-cung-ung-dich-vu.html,"Nghị định 04/2014/NĐ-CP quy định về hóa đơn bán hàng, cung ứng dịch vụ",thue,Thuế - Hóa đơn,nghi-dinh,Nghị định,nghi-dinh-gtgt-hoa-don,Nghị định GTGT/Hóa đơn,rule-gtgt
thu-vien/nghi-dinh-100-2016-nd-cp-huong-dan-luat-106-2016.html,Nghị định 100/2016/NĐ-CP Hướng dẫn thi hành Luật 106/2016/QH13,thue,Thuế - Hóa đơn,nghi-dinh,Nghị định,nghi-dinh-chinh-sach-chung,Nghị định Chính sách chung,rule-chinhsach
thu-vien/nghi-dinh-109-2013-nd-cp-xu-phat-vi-pham-ve-hoa-don-phi-le-phi.html,"Nghị định 109/2013/NĐ-CP Xử phạt vi phạm hành chính về hóa đơn, phí, lệ phí",thue,Thuế - Hóa đơn,nghi-dinh,Nghị định,nghi-dinh-gtgt-hoa-don,Nghị định GTGT/Hóa đơn,rule-gtgt
thu-vien/nghi-dinh-114-2020-nd-cp-giam-30-thue-tndn-nam-2020.html,Nghị định 114/2020/NĐ-CP giảm 30% thuế TNDN năm 2020,thue,Thuế - Hóa đơn,nghi-dinh,Nghị định,nghi-dinh-tndn,Nghị định TNDN,rule-tndn
thu-vien/nghi-dinh-117-2025-nd-cp-thue-cua-ho-ca-nhan-kd-tren-san-thuong-mai-dien-tu.html,"Nghị định 117/2025/NĐ-CP Thuế của hộ, cá nhân kinh doanh trên sàn thương mại điện tử",thue,Thuế - Hóa đơn,nghi-dinh,Nghị định,nghi-dinh-ho-ca-nhan-kinh-doanh,Nghị định Hộ/Cá nhân kinh doanh,rule-ho-ca-nhan
thu-vien/nghi-dinh-119-2018-nd-cp-quy-dinh-ve-hoa-don-dien-tu.html,Nghị định 119/2018/NĐ-CP quy định về hóa đơn điện tử,thue,Thuế - Hóa đơn,nghi-dinh,Nghị định,nghi-dinh-gtgt-hoa-don,Nghị định GTGT/Hóa đơn,rule-gtgt
thu-vien/nghi-dinh-12-2015-nd-cp-sua-doi-bo-sung-luat-the.html,Nghị định 12/2015/NĐ-CP Sửa đổi bổ sung các Luật về Thuế,thue,Thuế - Hóa đơn,nghi-dinh,Nghị định,nghi-dinh-chinh-sach-chung,Nghị định Chính sách chung,rule-chinhsach
thu-vien/nghi-dinh-12-2023-nd-cp-gia-han-nop-thue-gtgt-tndn-nam-2023.html,"Nghị định 12/2023/NĐ-CP gia hạn nộp thuế GTGT, TNDN năm 2023",thue,Thuế - Hóa đơn,nghi-dinh,Nghị định,nghi-dinh-gtgt-hoa-don,Nghị định GTGT/Hóa đơn,rule-gtgt
thu-vien/nghi-dinh-12-vbhn-btc-huong-dan-luat-thue-thu-nhap-doanh-nghiep.html,Nghị định 12/VBHN-BTC Hướng dẫn luật thuế TNDN,thue,Thuế - Hóa đơn,nghi-dinh,Nghị định,nghi-dinh-tndn,Nghị định TNDN,rule-tndn
thu-vien/nghi-dinh-122-2015-quy-dinh-muc-luong-toi-thieu-vung-nam-2016.html,Nghị định 122/2015/NĐ-CP Mức lương tối thiểu vùng năm 2016,thue,Thuế - Hóa đơn,nghi-dinh,Nghị định,nghi-dinh-chinh-sach-chung,Nghị định Chính sách chung,rule-chinhsach
