href,title,topicLv1Key,topicLv1Label,topicLv2Key,topicLv2Label,planned_to_topicLv3Key,planned_to_topicLv3Label,actual_to_topicLv3Key,actual_to_topicLv3Label,status
thu-vien/cac-hinh-thuc-ghi-so-ke-toan-theo-quyet-dinh-15-va-48.html,Các hình thức ghi sổ kế toán theo Thông tư 200 và 133,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,che-do-ke-toan-va-thong-tu,Chế độ kế toán & thông tư,che-do-ke-toan-va-thong-tu,Chế độ kế toán & thông tư,ok
thu-vien/cac-hinh-thuc-so-ke-toan-theo-thong-tu-99.html,Các loại sổ kế toán và hình thức sổ kế toán theo Thông tư 99,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,che-do-ke-toan-va-thong-tu,Chế độ kế toán & thông tư,che-do-ke-toan-va-thong-tu,Chế độ kế toán & thông tư,ok
thu-vien/cach-chuyen-so-du-theo-thong-tu-133.html,Cách chuyển số dư đầu kỳ từ QĐ 48 sang TT 133,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,che-do-ke-toan-va-thong-tu,Chế độ kế toán & thông tư,che-do-ke-toan-va-thong-tu,Chế độ kế toán & thông tư,ok
thu-vien/cach-ghi-so-theo-hinh-thuc-ke-toan-tren-may-vi-tinh.html,Hình thức ghi sổ kế toán trên máy vi tính,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,hinh-thuc-ghi-so-ke-toan,Hình thức ghi sổ kế toán,hinh-thuc-ghi-so-ke-toan,Hình thức ghi sổ kế toán,ok
thu-vien/cach-viet-don-xin-viec-ke-toan-viet-tay-hay-nhat.html,Hướng dẫn cách viết đơn xin việc kế toán viết tay,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,ok
thu-vien/chuan-muc-ke-toan-so-01-chuan-muc-chung.html,CHUẨN MỰC KẾ TOÁN SỐ 01 - CHUẨN MỰC CHUNG,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),ok
thu-vien/chuan-muc-ke-toan-so-05-bat-dong-san-dau-tu.html,CHUẨN MỰC KẾ TOÁN SỐ 05 - BẤT ĐỘNG SẢN ĐẦU TƯ,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),ok
thu-vien/chuan-muc-ke-toan-so-06-thue-tai-san.html,CHUẨN MỰC KẾ TOÁN SỐ 06 - THUÊ TÀI SẢN,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),ok
thu-vien/chuan-muc-ke-toan-so-07-cac-khoan-dau-tu-vao-cong-ty-lien-ket.html,CHUẨN MỰC KẾ TOÁN SỐ 07 - CÁC KHOẢN ĐẦU TƯ VÀO CÔNG TY LIÊN KẾT,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),ok
thu-vien/chuan-muc-ke-toan-so-08-thong-tin-tai-chinh-ve-nhung-khoan-von-gop-lien-doanh.html,CHUẨN MỰC KẾ TOÁN SỐ 08 - THÔNG TIN TÀI CHÍNH VỀ NHỮNG KHOẢN VỐN GÓP LIÊN DOANH,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),ok
thu-vien/chuan-muc-ke-toan-so-10-anh-huong-cua-viec-thay-doi-ty-gia-hoi-doai.html,CHUẨN MỰC KẾ TOÁN SỐ 10 - ẢNH HƯỞNG CỦA VIỆC THAY ĐỔI TỶ GIÁ HỐI ĐOÁI,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),ok
thu-vien/chuan-muc-ke-toan-so-11-hop-nhat-kinh-doanh.html,CHUẨN MỰC KẾ TOÁN SỐ 11 HỢP NHẤT KINH DOANH,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),ok
thu-vien/chuan-muc-ke-toan-so-14-doanh-thu-va-thu-nhap-khac.html,CHUẨN MỰC KẾ TOÁN SỐ 14 DOANH THU VÀ THU NHẬP KHÁC,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),ok
thu-vien/chuan-muc-ke-toan-so-15-hop-dong-xay-dung.html,CHUẨN MỰC KẾ TOÁN SỐ 15 - HỢP ĐỒNG XÂY DỰNG,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),ok
thu-vien/chuan-muc-ke-toan-so-16-chi-phi-di-vay.html,CHUẨN MỰC KẾ TOÁN SỐ 16 - CHI PHÍ ĐI VAY,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),ok
thu-vien/chuan-muc-ke-toan-so-23-cac-su-kien-phat-sinh-sau-ngay-ket-thuc-ky-ke-toan-nam.html,CHUẨN MỰC KẾ TOÁN SỐ 23 - CÁC SỰ KIỆN PHÁT SINH SAU NGÀY KẾT THÚC KỲ KẾ TOÁN NĂM,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),ok
thu-vien/chuan-muc-ke-toan-so-26-thong-tin-ve-cac-ben-lien-quan.html,CHUẨN MỰC KẾ TOÁN SỐ 26 THÔNG TIN VỀ CÁC BÊN LIÊN QUAN,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),ok
thu-vien/chuan-muc-ke-toan-so-28-bao-cao-bo-phan.html,CHUẨN MỰC KẾ TOÁN SỐ 28 - BÁO CÁO BỘ PHẬN,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),ok
thu-vien/chuan-muc-ke-toan-so-29-thay-doi-chinh-sach-ke-toan-uoc-tinh-ke-toan-va-cac-sai-sot.html,"CHUẨN MỰC KẾ TOÁN SỐ 29 Thay đổi chính sách kế toán, ước tính kê toán và các sai sót",ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),ok
thu-vien/chuan-muc-ke-toan-so-30-lai-tren-co-phieu.html,CHUẨN MỰC KẾ TOÁN SỐ 30 - LÃI TRÊN CỔ PHIẾU,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),chuan-muc-ke-toan-vas,Chuẩn mực kế toán (VAS),ok
thu-vien/cong-ty-co-phan-asia-pacific-tuyen-ke-toan-tong-hop.html,Công ty cổ phần Asia Pacific tuyển Kế toán tổng hợp,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,ok
thu-vien/cong-ty-co-phan-co-kim-khi-viet-my-tuyen-ke-toan.html,Công ty cổ phần cơ kim khí Việt Mỹ Tuyển kế toán,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,ok
thu-vien/cong-ty-co-phan-dau-tu-everland-tuyen-ke-toan-ban-hang.html,Công ty Cổ phần Đầu tư Everland tuyển Kế toán bán hàng,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,ok
thu-vien/cong-ty-co-phan-dich-vu-va-tu-van-phat-trien-nguon-nhan-luc-eq-tuyen-nhan-vien-ke-toan.html,Công ty Cổ phần Dịch vụ và tư vấn phát triển nguồn nhân lực EQ tuyển Nhân viên Kế toán,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,ok
thu-vien/cong-ty-co-phan-ninza-tuyen-ke-toan-tong-hop.html,Công ty Cổ phần NinZA tuyển Kế toán tổng hợp,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,ok
thu-vien/cong-ty-co-phan-thuong-mai-va-dich-vu-viet-huong-tuyen-nhan-vien-ke-toan.html,Công ty cổ phần thương mại và dịch vụ Việt Hương tuyển Nhân viên kế toán,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,ok
thu-vien/cong-ty-co-phan-thuong-mai-va-xuat-nhap-tvh-tuyen-ke-toan-kho.html,Công ty Cổ phần Thương mại và Xuất nhập TVH tuyển Kế toán Kho,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,ok
thu-vien/cong-ty-co-phan-tm-dtpt-echo-tuyen-nhan-vien-ke-toan.html,Công ty cố phần thương mại và đầu tư phát triển Echo tuyển Nhân viên kế toán,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,ok
thu-vien/cong-ty-cp-dich-vu-va-van-tai-bao-chau-tuyen-ke-toan-nha-hang.html,Công ty CP Dịch vụ và Vận tải Bảo Châu tuyển Kế toán nhà hàng,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,ok
thu-vien/cong-ty-cp-tam-hoang-viet-tuyen-ke-toan-tong-hop.html,Công ty Cp Tâm Hoàng Việt tuyển Kế toán tổng hợp,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,ok
thu-vien/cong-ty-cp-xnk-thu-cong-my-nghe-viet-nhat-tuyen-ke-toan-tong-hop.html,Công ty CP XNK Thủ Công Mỹ Nghệ Việt Nhật tuyển Kế toán Tổng hợp,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,ok
thu-vien/cong-ty-cp-xnk-thuong-mai-va-xay-dung-ngoc-khanh-tuyen-ke-toan.html,Công ty CP XNK Thương Mại và Xây Dựng Ngọc Khánh tuyển Kế toán,ke-toan,Kế toán,chuan-muc-che-do-nguyen-tac,Chuẩn mực - Chế độ - Nguyên tắc,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,tuyen-dung-nghe-nghiep-ke-toan,Tuyển dụng/Nghề nghiệp kế toán,ok
